link,title,description,cleaned_description
https://www.dawn.com/authors/815/reema-omer,News stories for Reema Omer - DAWN.COM,Checkout for the Latest and Top News from Pakistan and around the world,checkout for the latest and top news from pakistan and around the world
https://www.dawn.com/news/1832830/street-safety,Street safety - Newspaper - DAWN.COM,Traditional policing methods may result in faulty investigations.,traditional policing methods may result in faulty investigations
https://www.dawn.com/authors/2112/mohammad-ali-babakhel,News stories for Mohammad Ali Babakhel - DAWN.COM,Checkout for the Latest and Top News from Pakistan and around the world,checkout for the latest and top news from pakistan and around the world
https://www.dawn.com/news/1832829/child-marriages,Child marriages - Newspaper - DAWN.COM,Almost 19m girls in Pakistan are married before they turn 18.,almost m girls in pakistan are married before they turn 
https://www.dawn.com/authors/5582/sahar-bandial,News stories for Sahar Bandial - DAWN.COM,Checkout for the Latest and Top News from Pakistan and around the world,checkout for the latest and top news from pakistan and around the world
https://www.dawn.com/news/1832621/education-emergency,Education emergency - Newspaper - DAWN.COM,The current situation is the result of the choices that we have made and are still making.,the current situation is the result of the choices that we have made and are still making
https://www.dawn.com/authors/568/faisal-bari,News stories for Faisal Bari - DAWN.COM,Checkout for the Latest and Top News from Pakistan and around the world,checkout for the latest and top news from pakistan and around the world
https://www.dawn.com/newspaper/editorial,Editorial -Opinion - DAWN.COM,Checkout for the Latest and Top News from Pakistan and around the world,checkout for the latest and top news from pakistan and around the world
https://www.dawn.com/news/1832835/taxing-pensions,Taxing pensions - Newspaper - DAWN.COM,"Tax reforms have failed to deliver because of distortions created by the FBR bureaucracy through SROs, apparently for personal gains.",tax reforms have failed to deliver because of distortions created by the fbr bureaucracy through sros apparently for personal gains
https://www.dawn.com/news/1832834/orwellian-slide,Orwellian slide - Newspaper - DAWN.COM,"IN recent years, Pakistan has made several attempts at introducing an overarching mechanism through which to check...",in recent years pakistan has made several attempts at introducing an overarching mechanism through which to check
https://www.dawn.com/news/1832833/terror-against-girls,Terror against girls - Newspaper - DAWN.COM,"ONCE again, the ogre of terrorism is seeking the sacrifice of schoolgirls. On Wednesday, just days after the...",once again the ogre of terrorism is seeking the sacrifice of schoolgirls on wednesday just days after the
https://www.dawn.com/authors/1164/basil-nabi-malik,News stories for Basil Nabi Malik - DAWN.COM,Checkout for the Latest and Top News from Pakistan and around the world,checkout for the latest and top news from pakistan and around the world
https://www.dawn.com/news/1832620/waiting-to-practise,Waiting to practise - Newspaper - DAWN.COM,"The process of enrolment at the apex court is tedious, and is made more cumbersome by procedural bottlenecks along the way.",the process of enrolment at the apex court is tedious and is made more cumbersome by procedural bottlenecks along the way
https://www.dawn.com/authors/410/rafia-zakaria,News stories for Rafia Zakaria - DAWN.COM,Checkout for the Latest and Top News from Pakistan and around the world,checkout for the latest and top news from pakistan and around the world
https://www.dawn.com/authors/3/aasim-sajjad-akhtar,News stories for Aasim Sajjad Akhtar - DAWN.COM,Checkout for the Latest and Top News from Pakistan and around the world,checkout for the latest and top news from pakistan and around the world
